Model,Epoch,Avg_Loss,Alpha,Logic_Pearson,Logic_Spearman,Perception_Pearson,Perception_Spearman,Knowledge_Pearson,Knowledge_Spearman,Fear_Pearson,Fear_Spearman,Desire_Pearson,Desire_Spearman,Stress_Pearson,Stress_Spearman
With Decay,1,0.0612,0.1043,0.5137,0.5163,0.4513,0.4483,0.468,0.4807,0.4567,0.5688,0.4286,0.5079,0.5487,0.5759
With Decay,2,0.0432,0.1044,0.592,0.5952,0.5327,0.5286,0.5629,0.5601,0.5524,0.6621,0.535,0.6138,0.6403,0.6669
With Decay,3,0.0383,0.1041,0.6262,0.6302,0.5722,0.5687,0.5952,0.5939,0.5969,0.6784,0.5823,0.6644,0.671,0.6987
With Decay,4,0.0364,0.104,0.6472,0.6519,0.5958,0.5912,0.6161,0.6162,0.6198,0.688,0.6088,0.6837,0.689,0.7172
With Decay,5,0.0351,0.1035,0.6606,0.6658,0.6097,0.6058,0.633,0.6334,0.6332,0.6891,0.6226,0.6929,0.6996,0.7277
With Decay,6,0.0341,0.1024,0.6706,0.6771,0.6216,0.6185,0.6442,0.645,0.6412,0.6985,0.6353,0.7029,0.705,0.7348
With Decay,7,0.0336,0.102,0.6803,0.6866,0.6328,0.6288,0.6556,0.656,0.6501,0.6936,0.642,0.7066,0.7165,0.7453
With Decay,8,0.0326,0.0997,0.6894,0.6953,0.6439,0.6396,0.6673,0.6681,0.6637,0.7029,0.654,0.7158,0.7263,0.7535
With Decay,9,0.0318,0.097,0.695,0.7008,0.658,0.6535,0.6725,0.6735,0.6731,0.7021,0.6647,0.7205,0.7351,0.7599
With Decay,10,0.0313,0.0944,0.7076,0.7145,0.6675,0.6638,0.6877,0.6882,0.6839,0.7056,0.6745,0.7241,0.7443,0.7672
With Decay,11,0.0303,0.0904,0.7173,0.7243,0.6836,0.6799,0.6975,0.6982,0.6947,0.7111,0.6853,0.7299,0.7544,0.7756
With Decay,12,0.0293,0.0855,0.7262,0.7327,0.6948,0.6904,0.7102,0.7123,0.7127,0.7164,0.6984,0.7351,0.7693,0.7877
With Decay,13,0.0283,0.0799,0.7393,0.7461,0.7049,0.7005,0.7237,0.7251,0.727,0.7199,0.709,0.7436,0.7799,0.7969
With Decay,14,0.0271,0.0722,0.7532,0.7606,0.723,0.7183,0.7412,0.7437,0.7463,0.7212,0.7257,0.7536,0.7935,0.8067
With Decay,15,0.0259,0.0635,0.7653,0.7724,0.7377,0.7356,0.7542,0.7558,0.7631,0.7338,0.7338,0.7569,0.8048,0.8138
With Decay,16,0.0246,0.0533,0.7759,0.7834,0.753,0.7512,0.7667,0.7684,0.7809,0.7366,0.7488,0.7704,0.8194,0.8278
With Decay,17,0.0232,0.0399,0.7938,0.8016,0.7729,0.7683,0.7893,0.7924,0.7993,0.7446,0.7626,0.7741,0.8325,0.8365
With Decay,18,0.0219,0.0267,0.8042,0.8109,0.788,0.7836,0.7995,0.8044,0.8127,0.734,0.7729,0.778,0.8411,0.8448
With Decay,19,0.0205,0.0128,0.8144,0.8217,0.8033,0.8004,0.8139,0.8175,0.8324,0.7524,0.7902,0.7935,0.8582,0.8591
With Decay,20,0.019,-0.0007,0.8332,0.84,0.8242,0.8201,0.8335,0.8382,0.8433,0.7595,0.7919,0.7903,0.8631,0.8599
